rowname	logFC	AveExpr	t	P.Value	adj.P.Val	B	z.std	Gene.name	Tax	KEGG.ID	KEGGFUN	KEGGPATH	COG.ID	COGFUN	COGPATH	PFAM	direction
11	bd17_expression_123_33185-33712	2.58289610432786	8.79080032763831	3.54873268674208	0.00152875572791328	0.148706238987928	-1.05310765276382	3.16916881567722	RP-L6, MRPL6, rplF	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K02933	large subunit ribosomal protein L6	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0097	Ribosomal protein L6P/L9E	Translation, ribosomal structure and biogenesis	PF00347 [Ribosomal protein L6]	ns
12	bd17_expression_113_5424-7265	1.67049261704447	8.68156305490757	3.46493223694453	0.00188913288459928	0.168447682210102	-1.23966008709123	3.10713002353798	rpoD	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K03086	RNA polymerase primary sigma factor	Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	COG0568	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)	Transcription	PF00140 [Sigma-70 factor, region 1.2];PF03979 [Sigma-70 factor, region 1.1];PF04539 [Sigma-70 region 3];PF04542 [Sigma-70 region 2 ];PF04545 [Sigma-70, region 4];PF04546 [Sigma-70, non-essential region]	ns
13	bd17_expression_225_9359-10903	2.18635638890307	9.09996852867114	3.302696665049	0.00284652074876873	0.234290553937119	-1.6155911996093	2.98384376862656	ATPF1A, atpA	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales	K02111	F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]	Metabolism; Energy metabolism; Oxidative phosphorylation | Metabolism; Energy metabolism; Photosynthesis | Brite Hierarchies; Protein families: metabolism; Photosynthesis proteins	COG0056	F0F1-type ATP synthase, alpha subunit	Energy production and conversion	PF00006 [ATP synthase alpha/beta family, nucleotide-binding domain];PF00306 [ATP synthase alpha/beta chain, C terminal domain];PF02874 [ATP synthase alpha/beta family, beta-barrel domain]	ns
14	bd17_expression_123_36689-37366	1.84398996505388	8.47030870553732	3.13017252536546	0.00434128468237326	0.331798186438527	-1.94953695700244	2.85223607054954	RP-S3, rpsC	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K02982	small subunit ribosomal protein S3	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0092	Ribosomal protein S3	Translation, ribosomal structure and biogenesis	PF00189 [Ribosomal protein S3, C-terminal domain];PF07650 [KH domain]	ns
15	bd17_expression_123_36262-36675	1.2076700958849	8.23771071757907	2.84649443217607	0.00860499351196449	0.613822870520134	-2.54579896894148	2.62736121698751	RP-L16, MRPL16, rplP	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales	K02878	large subunit ribosomal protein L16	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0197	Ribosomal protein L16/L10E	Translation, ribosomal structure and biogenesis	PF00252 [Ribosomal protein L16p/L10e]	ns
16	bd17_expression_123_38013-38840	2.26729334497276	9.64523745119146	2.71871360087846	0.011621988728979	0.769519713517269	-2.92411237140491	2.5234188314351	RP-L2, MRPL2, rplB	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales	K02886	large subunit ribosomal protein L2	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0090	Ribosomal protein L2	Translation, ribosomal structure and biogenesis	PF00181 [Ribosomal Proteins L2, RNA binding domain];PF03947 [Ribosomal Proteins L2, C-terminal domain]	ns
17	bd17_expression_123_32827-33174	1.85200708388928	8.26660433774708	2.69695032777426	0.012226014139994	0.769519713517269	-2.81951872033343	2.50555280370192	RP-L18, MRPL18, rplR	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K02881	large subunit ribosomal protein L18	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0256	Ribosomal protein L18	Translation, ribosomal structure and biogenesis	PF00861 [Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast]	ns
18	bd17_expression_251_1388-1882	1.16191105241337	8.17441442297691	2.60698679078857	0.0153134612197677	0.804390634056164	-3.05064643692094	2.42487967708767									PF07617 [Protein of unknown function (DUF1579)]	ns
19	bd17_expression_201_12589-13560	1.38954254469176	8.41548937296287	2.57568325317861	0.0164038846284978	0.804390634056164	-3.0843523688809	2.39980328457265	TC.OOP	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales	K03286	OmpA-OmpF porin, OOP family	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	COG2885	Outer membrane protein and related peptidoglycan-associated (lipo)proteins	Cell envelope biogenesis, outer membrane	PF00691 [OmpA family];PF13505 [Outer membrane protein beta-barrel domain]	ns
20	bd17_expression_237_17325-18485	1.86612317956412	9.04701900068578	2.60263298867698	0.0168944965487774	0.804390634056164	-3.10955306600213	2.38899577714969	sucC	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria	K01903	succinyl-CoA synthetase beta subunit [EC:6.2.1.5]	Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Carbohydrate metabolism; C5-Branched dibasic acid metabolism | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes	COG0045	Succinyl-CoA synthetase, beta subunit	Energy production and conversion	PF00549 [CoA-ligase];PF08442 [ATP-grasp domain];PF13549 [ATP-grasp domain]	ns
21	bd17_expression_306_20250-20333	1.38550038634148	8.23700510703424	2.55138801748001	0.0177572787275746	0.804390634056164	-3.14347505567412	2.37064080645028	pilA	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria	K02650	type IV pilus assembly protein PilA	Environmental Information Processing; Signal transduction; Two-component system | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system | Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial motility proteins	COG4969	Tfp pilus assembly protein, major pilin PilA	Cell motility and secretion	PF07963 [Prokaryotic N-terminal methylation motif]	ns
22	bd17_expression_137_7153-8064	-0.814636272440772	7.77536825147435	-2.51306218586648	0.0186367584624909	0.804390634056164	-3.28004602835305	-2.35271806797439	moaA, CNX2	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales	K03639	GTP 3',8-cyclase [EC:4.1.99.22]	Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis | Genetic Information Processing; Folding, sorting and degradation; Sulfur relay system	COG2896	Molybdenum cofactor biosynthesis enzyme	Coenzyme metabolism	PF04055 [Radical SAM superfamily];PF06463 [Molybdenum Cofactor Synthesis C]	ns
23	bd17_expression_303_19053-20702	1.68418748105897	9.61284064863595	2.58754883934223	0.0194891936417899	0.804390634056164	-3.22762751876597	2.33603929498561	groEL, HSPD1	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria	K04077	chaperonin GroEL	Genetic Information Processing; Folding, sorting and degradation; RNA degradation | Organismal Systems; Aging; Longevity regulating pathway - worm | Human Diseases; Endocrine and metabolic diseases; Type I diabetes mellitus | Human Diseases; Infectious diseases: Bacterial; Legionellosis | Human Diseases; Infectious diseases: Bacterial; Tuberculosis | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Chaperones and folding catalysts | Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	COG0459	Chaperonin GroEL (HSP60 family)	Posttranslational modification, protein turnover, chaperones	PF00118 [TCP-1/cpn60 chaperonin family]	ns
24	bd17_expression_132_5308-6075	-0.867654153404868	7.64776120956264	-2.52520638386589	0.0205286235881962	0.804390634056164	-3.29898288880817	-2.31654329118004	K07270		K07270	glycosyl transferase, family 25	Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	COG3306	Glycosyltransferase involved in LPS biosynthesis	Cell envelope biogenesis, outer membrane	PF01755 [Glycosyltransferase family 25 (LPS biosynthesis protein)]	ns
25	bd17_expression_123_34504-35046	1.22993409150676	8.16597388278502	2.46716218389973	0.020664971454314	0.804390634056164	-3.2947113116854	2.31405014895064	RP-L5, MRPL5, rplE	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K02931	large subunit ribosomal protein L5	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0094	Ribosomal protein L5	Translation, ribosomal structure and biogenesis	PF00281 [Ribosomal protein L5];PF00673 [ribosomal L5P family C-terminus]	ns
26	bd17_expression_68_1887-3347	-0.936013781385277	7.77536825147435	-2.42062564569851	0.0229277476335864	0.804390634056164	-3.42401618383018	-2.27463645011574	chnB	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K03379	cyclohexanone monooxygenase [EC:1.14.13.22]	Metabolism; Xenobiotics biodegradation and metabolism; Caprolactam degradation	COG2072	Predicted flavoprotein involved in K+ transport	Inorganic ion transport and metabolism	PF00743 [Flavin-binding monooxygenase-like];PF07992 [Pyridine nucleotide-disulphide oxidoreductase];PF13450 [NAD(P)-binding Rossmann-like domain];PF13454 [FAD-NAD(P)-binding];PF13738 [Pyridine nucleotide-disulphide oxidoreductase]	ns
27	bd17_expression_193_19665-21779	1.06280904999767	8.34545423992022	2.45716243049198	0.0269982897809721	0.804390634056164	-3.40047801935927	2.2115425349476	pnp, PNPT1	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K00962	polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]	Genetic Information Processing; Folding, sorting and degradation; RNA degradation | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis	COG1185	Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)	Translation, ribosomal structure and biogenesis	PF00013 [KH domain];PF00575 [S1 RNA binding domain];PF01138 [3' exoribonuclease family, domain 1];PF03725 [3' exoribonuclease family, domain 2];PF03726 [Polyribonucleotide nucleotidyltransferase, RNA binding domain]	ns
28	bd17_expression_156_26766-28250	-0.825949023769996	7.69099259135896	-2.30299105603784	0.0296995009772085	0.804390634056164	-3.69291124476471	-2.17407502866693										ns
29	bd17_expression_237_72729-73571	1.14597626760106	8.1948443946915	2.27816463193362	0.0315943514710312	0.804390634056164	-3.67140304653743	2.14950548864796		k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Oceanospirillales				COG3666	Transposase and inactivated derivatives	DNA replication, recombination and repair	PF01609 [Transposase DDE domain];PF13751 [Transposase DDE domain]	ns
30	bd17_expression_220_10583-11944	0.929286139964184	7.84741200150713	2.30295739875936	0.0317875984717549	0.804390634056164	-3.73701345487813	2.14707139137234	trkH, trkG, ktrB	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K03498	trk system potassium uptake protein	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	COG0168	Trk-type K+ transport systems, membrane components	Inorganic ion transport and metabolism	PF02386 [Cation transport protein]	ns
31	bd17_expression_109_5927-7960	-0.840674146819834	7.73530663767883	-2.27740977350858	0.0318309502882174	0.804390634056164	-3.73628251158086	-2.14652708438831	pepO	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales	K07386	putative endopeptidase [EC:3.4.24.-]	Brite Hierarchies; Protein families: metabolism; Peptidases	COG3590	Predicted metalloendopeptidase	Posttranslational modification, protein turnover, chaperones	PF01431 [Peptidase family M13];PF05649 [Peptidase family M13]	ns
32	bd17_expression_6_42299-43303	1.03753969014884	7.87312096404595	2.22499503794586	0.0351460299275976	0.804390634056164	-3.86728403850025	2.10667189592582	hutG	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales	K01479	formiminoglutamase [EC:3.5.3.8]	Metabolism; Amino acid metabolism; Histidine metabolism	COG0010	Arginase/agmatinase/formimionoglutamate hydrolase, arginase family	Amino acid transport and metabolism	PF00491 [Arginase family]	ns
33	bd17_expression_159_6937-9711	-0.78763449885145	7.72953790529327	-2.22266972955404	0.0359962001587199	0.804390634056164	-3.8327897694697	-2.09697034959588	fimV	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales	K08086	pilus assembly protein FimV	Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Cell motility	COG3170	Tfp pilus assembly protein FimV	Cell motility and secretion		ns
34	bd17_expression_245_2244-3278	0.938580004975286	7.94062227755576	2.21093873580487	0.0362186951615045	0.804390634056164	-3.84840631108138	2.09446368071814		k_Bacteria	K01442	choloylglycine hydrolase [EC:3.5.1.24]	Metabolism; Lipid metabolism; Primary bile acid biosynthesis | Metabolism; Lipid metabolism; Secondary bile acid biosynthesis	COG3049	Penicillin V acylase and related amidases	Cell envelope biogenesis, outer membrane	PF02275 [Linear amide C-N hydrolases, choloylglycine hydrolase family]	ns
35	bd17_expression_123_80780-82273	0.822986190100169	7.82707295709934	2.21126449143257	0.0384774544608155	0.804390634056164	-3.90358333742229	2.06973193478038		k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales	K17758;K17759			COG0062;COG0063			PF01256 [Carbohydrate kinase];PF03853 [YjeF-related protein N-terminus]	ns
36	bd17_expression_112_5128-8277	0.979283046641369	7.97448152362807	2.17104229099006	0.039426065965025	0.804390634056164	-3.90263064822835	2.05971216284786										ns
37	bd17_expression_307_50169-51305	-0.638425749594729	7.66186757868137	-2.16047033762683	0.040317738571567	0.804390634056164	-3.9730351358901	-2.05047871719516	carA, CPA1	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria	K01956	carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	Metabolism; Nucleotide metabolism; Pyrimidine metabolism | Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism	COG0505	Carbamoylphosphate synthase small subunit	Nucleotide transport and metabolism|Amino acid transport and metabolism	PF00117 [Glutamine amidotransferase class-I];PF00988 [Carbamoyl-phosphate synthase small chain, CPSase domain]	ns
38	bd17_expression_16_36414-37826	-0.801253053153221	7.80090820091108	-2.23997721325169	0.0405756251896209	0.804390634056164	-3.75657751584924	-2.04784055436872	murC	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K01924	UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	Metabolism; Metabolism of other amino acids; D-Glutamine and D-glutamate metabolism | Metabolism; Glycan biosynthesis and metabolism; Peptidoglycan biosynthesis | Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins	COG0773	UDP-N-acetylmuramate-alanine ligase	Cell envelope biogenesis, outer membrane	PF01225 [Mur ligase family, catalytic domain];PF02875 [Mur ligase family, glutamate ligase domain];PF08245 [Mur ligase middle domain]	ns
39	bd17_expression_38_48844-50280	1.01147130227335	7.85610298610134	2.17595622460874	0.041759438295394	0.804390634056164	-3.97042987180549	2.03590955385624		k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales				COG4287	PhoPQ-activated pathogenicity-related protein	General function prediction only	PF10142 [PhoPQ-activated pathogenicity-related protein]	ns
40	bd17_expression_32_13141-15960	1.05225814851505	7.92971303041128	2.14757715778063	0.0417903617442485	0.804390634056164	-3.95663699179466	2.03560175188119	barA, gacS, varS	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales	K07678	two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]	Environmental Information Processing; Signal transduction; Two-component system | Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Vibrio cholerae | Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Pseudomonas aeruginosa | Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Escherichia coli | Brite Hierarchies; Protein families: metabolism; Protein kinases | Brite Hierarchies; Protein families: signaling and cellular processes; Two-component system	COG0642;COG0784			PF00072 [Response regulator receiver domain];PF00512 [His Kinase A (phospho-acceptor) domain];PF02518 [Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase]	ns
41	bd17_expression_187_16297-17112	-0.965373460982001	7.65596903890999	-2.16682447498779	0.0424178094974728	0.804390634056164	-3.97269165751313	-2.02939759877952										ns
42	bd17_expression_73_23838-25130	-1.04993534624164	7.88800676496547	-2.13399950732876	0.042630314387541	0.804390634056164	-4.02744693497684	-2.02731396350169	miaB	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K06168	tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]	Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis	COG0621	2-methylthioadenine synthetase	Translation, ribosomal structure and biogenesis	PF00919 [Uncharacterized protein family UPF0004];PF01938 [TRAM domain];PF04055 [Radical SAM superfamily]	ns
43	bd17_expression_161_15980-17446	0.912414458138743	7.88253884525102	2.1245951689054	0.0440547682841723	0.804390634056164	-4.0267959520894	2.01356933856177	IMPDH, guaB	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K00088	IMP dehydrogenase [EC:1.1.1.205]	Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	COG0516;COG0517			PF00478 [IMP dehydrogenase / GMP reductase domain];PF00571 [CBS domain];PF03060 [Nitronate monooxygenase]	ns
44	bd17_expression_107_8285-9427	1.07581055938824	8.06027666810093	2.10615189203989	0.0451907396551418	0.804390634056164	-3.98186267143883	2.00287469672367	ftsZ	k_Bacteria;n_Bacteria incertae sedis;n_Bacteria candidate phyla;p_Candidatus Sumerlaeota	K03531	cell division protein FtsZ	Cellular Processes; Cell growth and death; Cell cycle - Caulobacter | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins | Brite Hierarchies; Protein families: signaling and cellular processes; Cytoskeleton proteins | Brite Hierarchies; Protein families: signaling and cellular processes; Prokaryotic defense system	COG0206	Cell division GTPase	Cell division and chromosome partitioning	PF00091 [Tubulin/FtsZ family, GTPase domain]	ns
45	bd17_expression_62_23721-25214	-0.802071809418213	7.61426277346417	-2.12661514915315	0.0461480229001617	0.804390634056164	-4.05542301155648	-1.99403689270461	TC.SSS	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K03307	solute:Na+ symporter, SSS family	Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Transport	COG0591	Na+/proline symporter	General function prediction only|Amino acid transport and metabolism	PF00474 [Sodium:solute symporter family]	ns
46	bd17_expression_193_41873-43798	0.998411554866025	8.48948725702715	2.09461651337907	0.0462909835338155	0.804390634056164	-4.00316760137176	1.99273033720646	dnaK, HSPA9	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales	K04043	molecular chaperone DnaK	Genetic Information Processing; Folding, sorting and degradation; RNA degradation | Organismal Systems; Aging; Longevity regulating pathway - worm | Human Diseases; Infectious diseases: Bacterial; Tuberculosis | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Chaperones and folding catalysts | Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	COG0443	Molecular chaperone	Posttranslational modification, protein turnover, chaperones	PF00012 [Hsp70 protein];PF06723 [MreB/Mbl protein]	ns
47	bd17_expression_123_42305-44413	1.47862570611062	9.1840753071034	2.08944041800105	0.0467923985905374	0.804390634056164	-4.06774642587038	1.98817445995859	fusA, GFM, EFG	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K02355	elongation factor G	Brite Hierarchies; Protein families: genetic information processing; Translation factors | Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis	COG0480	Translation elongation factors (GTPases)	Translation, ribosomal structure and biogenesis	PF00009 [Elongation factor Tu GTP binding domain];PF00679 [Elongation factor G C-terminus];PF03144 [Elongation factor Tu domain 2];PF03764 [Elongation factor G, domain IV];PF14492 [Elongation Factor G, domain II]	ns
48	bd17_expression_174_4606-6066	0.873365273030233	7.8482394831152	2.10115127424259	0.0477722993601935	0.804390634056164	-4.09271753081354	1.97938834813732		k_Bacteria;n_Terrabacteria group;p_Actinomycetota;c_Actinomycetes;o_Pseudonocardiales				ENOG4111G8K		Function unknown		ns
