rowname	logFC	AveExpr	t	P.Value	adj.P.Val	z.std	Gene name	KEGG ID	KEGGFUN	KEGGPATH	COG ID	COGFUN	COGPATH	PFAM	superkingdom	phylum	class	order	family	genus	species	direction
11	PlaceSamplesHere_218831_1024-1200	3.83922552376985	3.822980595924	6.76247511394934	2.51167867725999e-05	0.00605974143849562	4.2137476825822	RP-L30, MRPL30, rpmD	K02907	large subunit ribosomal protein L30	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG1841	Ribosomal protein L30/L7E	Translation, ribosomal structure and biogenesis	PF00327 [Ribosomal protein L30p/L7e]	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified Vibrio	captive
12	PlaceSamplesHere_553252_463-609	6.69479229592647	10.2271618497889	6.87753685650064	3.00777497262639e-05	0.00605974143849562	4.17287687768383					ENOG4111PC4	Pfam:Cw-hydrolase	Function unknown		Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified Vibrio	captive
13	PlaceSamplesHere_391841_302-1063	4.42211494908581	4.24335655523009	6.73349362611403	3.12296063422888e-05	0.00605974143849562	4.16430963494559	ATPF1A, atpA	K02111	F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]	Metabolism; Energy metabolism; Oxidative phosphorylation | Metabolism; Energy metabolism; Photosynthesis | Brite Hierarchies; Protein families: metabolism; Photosynthesis proteins	COG0056	F0F1-type ATP synthase, alpha subunit	Energy production and conversion	PF00006 [ATP synthase alpha/beta family, nucleotide-binding domain];PF02874 [ATP synthase alpha/beta family, beta-barrel domain]	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified Vibrio	captive
14	PlaceSamplesHere_32176_202-438	4.88438635133957	5.00528496171529	7.10943755990081	3.26061490213948e-05	0.00605974143849562	4.15445660363487					ENOG410XYGT		Function unknown		Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified Vibrio	captive
15	PlaceSamplesHere_298960_262-1446	3.39953671038869	6.52366988356224	7.65077368917705	3.38626860755465e-05	0.00605974143849562	4.14580165800544	tuf, TUFM	K02358	elongation factor Tu	Brite Hierarchies; Protein families: genetic information processing; Translation factors | Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	COG0050	GTPases - translation elongation factors	Translation, ribosomal structure and biogenesis	PF00009 [Elongation factor Tu GTP binding domain];PF03143 [Elongation factor Tu C-terminal domain];PF03144 [Elongation factor Tu domain 2]	Bacteria	Mycoplasmatota	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Unclassified Mycoplasmataceae	Unclassified Mycoplasmataceae	captive
16	PlaceSamplesHere_89188_1-990	4.40254496541829	4.28713648131914	6.60248478095194	3.42870794190236e-05	0.00605974143849562	4.14294727450309	RP-S1, rpsA	K02945	small subunit ribosomal protein S1	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0539	Ribosomal protein S1	Translation, ribosomal structure and biogenesis	PF00575 [S1 RNA binding domain]	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Unclassified Pseudoalteromonas	captive
17	PlaceSamplesHere_30545_193-339	4.54401919502922	4.28521264148928	6.61809733999083	3.58190557908295e-05	0.00605974143849562	4.13291542438108									Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Unclassified Citrobacter	captive
18	PlaceSamplesHere_567059_927-1229	4.57495690816244	4.55023843122463	6.52056734983545	4.44417202490015e-05	0.00682228661684506	4.08308519886613	RP-L23, MRPL23, rplW	K02892	large subunit ribosomal protein L23	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0089	Ribosomal protein L23	Translation, ribosomal structure and biogenesis	PF00276 [Ribosomal protein L23]	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified Vibrio	captive
19	PlaceSamplesHere_310498_1304-1843	4.72501252746065	4.68296883621055	6.43715602305226	4.65678011071541e-05	0.00682228661684506	4.07221681149423	RP-L5, MRPL5, rplE	K02931	large subunit ribosomal protein L5	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0094	Ribosomal protein L5	Translation, ribosomal structure and biogenesis	PF00281 [Ribosomal protein L5];PF00673 [ribosomal L5P family C-terminus]	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified Vibrio	captive
20	PlaceSamplesHere_45881_872-2056	5.82566128888249	5.86825796350442	6.49300718743205	4.74428832882132e-05	0.00682228661684506	4.06787959584072	tuf, TUFM	K02358	elongation factor Tu	Brite Hierarchies; Protein families: genetic information processing; Translation factors | Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	COG0050	GTPases - translation elongation factors	Translation, ribosomal structure and biogenesis	PF00009 [Elongation factor Tu GTP binding domain];PF03143 [Elongation factor Tu C-terminal domain];PF03144 [Elongation factor Tu domain 2]	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Unclassified Pseudoalteromonas	captive
21	PlaceSamplesHere_483993_190-1155	-1.82770498091176	5.30472326338021	-5.19487559134443	5.15405401107771e-05	0.00705859968374261	-4.04852903912868	K07482	K07482	transposase, IS30 family	Not Included in Pathway or Brite; Unclassified: genetic information processing; Replication and repair	COG2826	Transposase and inactivated derivatives, IS30 family	DNA replication, recombination and repair	PF13936 [Helix-turn-helix domain]	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Unclassified Neisseria	wild
22	PlaceSamplesHere_547320_3-431	4.39643381457472	4.3817431294701	5.15623373967028	5.61494748797496e-05	0.00734026771609817	4.02843460252894	tuf, TUFM	K02358	elongation factor Tu	Brite Hierarchies; Protein families: genetic information processing; Translation factors | Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	COG0050	GTPases - translation elongation factors	Translation, ribosomal structure and biogenesis	PF00009 [Elongation factor Tu GTP binding domain]	Bacteria	Pseudomonadota	Gammaproteobacteria	Unclassified Gammaproteobacteria	Unclassified Gammaproteobacteria	Unclassified Gammaproteobacteria	Unclassified Gammaproteobacteria	captive
23	PlaceSamplesHere_595646_35-1078	4.37870979425721	3.96291140039641	6.09561790710817	6.15649933235624e-05	0.00751045309783835	4.00673068684226	glyA, SHMT	K00600	glycine hydroxymethyltransferase [EC:2.1.2.1]	Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism | Metabolism; Metabolism of other amino acids; Cyanoamino acid metabolism | Metabolism; Metabolism of cofactors and vitamins; One carbon pool by folate | Human Diseases; Drug resistance: Antineoplastic; Antifolate resistance	COG0112	Glycine/serine hydroxymethyltransferase	Amino acid transport and metabolism	PF00464 [Serine hydroxymethyltransferase]	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Unclassified Pseudoalteromonas	captive
24	PlaceSamplesHere_570716_261-1085	5.19766762332979	4.90982287254943	6.26259973529864	6.2674156588359e-05	0.00751045309783835	4.00250947680747	RP-L2, MRPL2, rplB	K02886	large subunit ribosomal protein L2	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0090	Ribosomal protein L2	Translation, ribosomal structure and biogenesis	PF00181 [Ribosomal Proteins L2, RNA binding domain];PF03947 [Ribosomal Proteins L2, C-terminal domain]	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified Vibrio	captive
25	PlaceSamplesHere_549904_1618-2817	-1.45901376935584	6.33046948560859	-4.97043859385748	8.49277181467463e-05	0.00977008469560169	-3.93005136184352	pfp, PFP	K00895	diphosphate-dependent phosphofructokinase [EC:2.7.1.90]	Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism	COG0205	6-phosphofructokinase	Carbohydrate transport and metabolism	PF00365 [Phosphofructokinase]	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Unclassified Cutibacterium	wild
26	PlaceSamplesHere_45884_3287-4471	5.34109776173083	5.18152881298849	5.99158924182003	0.000105899336821885	0.0117140958730669	3.87666193703008	tuf, TUFM	K02358	elongation factor Tu	Brite Hierarchies; Protein families: genetic information processing; Translation factors | Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	COG0050	GTPases - translation elongation factors	Translation, ribosomal structure and biogenesis	PF00009 [Elongation factor Tu GTP binding domain];PF03143 [Elongation factor Tu C-terminal domain];PF03144 [Elongation factor Tu domain 2]	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Unclassified Pseudoalteromonas	captive
27	PlaceSamplesHere_554324_143-892	4.06245367789429	4.10948803810658	5.74755385716752	0.000116386973940843	0.0123168836288186	3.85361412763097	fusA, GFM, EFG	K02355	elongation factor G	Brite Hierarchies; Protein families: genetic information processing; Translation factors | Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis	COG0480	Translation elongation factors (GTPases)	Translation, ribosomal structure and biogenesis	PF00009 [Elongation factor Tu GTP binding domain]	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Unclassified Pseudoalteromonas	captive
28	PlaceSamplesHere_534333_1-1116	4.4572180341906	4.29053281261323	4.9081191585614	0.000122724494955739	0.0123168836288186	3.8406189354147	groEL, HSPD1	K04077	chaperonin GroEL	Genetic Information Processing; Folding, sorting and degradation; RNA degradation | Organismal Systems; Aging; Longevity regulating pathway - worm | Human Diseases; Endocrine and metabolic diseases; Type I diabetes mellitus | Human Diseases; Infectious diseases: Bacterial; Legionellosis | Human Diseases; Infectious diseases: Bacterial; Tuberculosis | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Chaperones and folding catalysts | Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	COG0459	Chaperonin GroEL (HSP60 family)	Posttranslational modification, protein turnover, chaperones	PF00118 [TCP-1/cpn60 chaperonin family]	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Unclassified Spirochaetales	Unclassified Spirochaetales	Unclassified Spirochaetales	captive
29	PlaceSamplesHere_263845_1-156	3.48334687701653	3.76893000314593	5.6552335993855	0.000124196670805195	0.0123168836288186	3.83769091108836	RP-L33, MRPL33, rpmG	K02913	large subunit ribosomal protein L33	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0267	Ribosomal protein L33	Translation, ribosomal structure and biogenesis	PF00471 [Ribosomal protein L33]	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Unclassified Vibrionaceae	Unclassified Vibrionaceae	captive
30	PlaceSamplesHere_39498_9424-10797	-1.33789823678237	6.33726280906063	-4.76360589840771	0.000135091766734074	0.0127297782773633	-3.81698611993338					COG0612	Predicted Zn-dependent peptidases	General function prediction only	PF05193 [Peptidase M16 inactive domain]	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Unclassified Propionibacteriaceae	Unclassified Propionibacteriaceae	wild
31	PlaceSamplesHere_552734_19-666	4.07807509723791	4.08380236183807	5.66478607453885	0.000137212491863095	0.0127297782773633	3.81313971731521	PRDX2_4, ahpC	K03386	peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]	Cellular Processes; Cell growth and death; Apoptosis - fly | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	COG0450	Peroxiredoxin	Posttranslational modification, protein turnover, chaperones	PF00578 [AhpC/TSA family];PF08534 [Redoxin]	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Unclassified Vibrionaceae	Unclassified Vibrionaceae	captive
32	PlaceSamplesHere_313122_571-1131	4.31246805244659	4.27466050199072	5.60398895663165	0.000144837527950683	0.0129333483610899	3.79975787543611	RP-L3, MRPL3, rplC	K02906	large subunit ribosomal protein L3	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0087	Ribosomal protein L3	Translation, ribosomal structure and biogenesis	PF00297 [Ribosomal protein L3]	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified Vibrio	captive
33	PlaceSamplesHere_234240_1542-2534	4.62227955407651	4.5796763284998	5.64024935311412	0.000148400728760768	0.0129333483610899	3.79373052049718	rpoA	K03040	DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]	Genetic Information Processing; Transcription; RNA polymerase | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	COG0202	DNA-directed RNA polymerase, alpha subunit/40 kD subunit	Transcription	PF01000 [RNA polymerase Rpb3/RpoA insert domain];PF01193 [RNA polymerase Rpb3/Rpb11 dimerisation domain];PF03118 [Bacterial RNA polymerase, alpha chain C terminal domain]	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified Vibrio	captive
34	PlaceSamplesHere_310498_1868-2185	4.12196024617902	4.15807514300239	5.59681422138527	0.000155200164942962	0.0129918784992302	3.78259766791746	RP-L24, MRPL24, rplX	K02895	large subunit ribosomal protein L24	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0198	Ribosomal protein L24	Translation, ribosomal structure and biogenesis	PF17136 [Ribosomal proteins 50S L24/mitochondrial 39S L24]	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified Vibrio	captive
35	PlaceSamplesHere_567059_328-930	4.34543840100731	4.80928099296926	5.56612867294989	0.000159950327068682	0.0129918784992302	3.77508934037028	RP-L4, MRPL4, rplD	K02926	large subunit ribosomal protein L4	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0088	Ribosomal protein L4	Translation, ribosomal structure and biogenesis	PF00573 [Ribosomal protein L4/L1 family]	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified Vibrio	captive
36	PlaceSamplesHere_102371_1-873	4.01092599929498	3.87067704536728	5.46770694078792	0.00016262434839092	0.0129918784992302	3.77095446480057	rpoC	K03046	DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]	Genetic Information Processing; Transcription; RNA polymerase | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	COG0086	DNA-directed RNA polymerase, beta' subunit/160 kD subunit	Transcription	PF04997 [RNA polymerase Rpb1, domain 1]	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified Vibrio	captive
37	PlaceSamplesHere_476684_2-355	3.62362868749844	3.78206018294356	5.3073149678509	0.000190726433746589	0.0142822992815494	3.73099311873242	fusA, GFM, EFG	K02355	elongation factor G	Brite Hierarchies; Protein families: genetic information processing; Translation factors | Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis	COG0480	Translation elongation factors (GTPases)	Translation, ribosomal structure and biogenesis	PF00679 [Elongation factor G C-terminus]	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified Vibrio	captive
38	PlaceSamplesHere_439750_2-355	3.12701419043788	7.14555366101075	5.56907078465469	0.000204004571323926	0.0142822992815494	3.71400523391746					ENOG410XYGT		Function unknown		Bacteria	Pseudomonadota	Gammaproteobacteria	Unclassified Gammaproteobacteria	Unclassified Gammaproteobacteria	Unclassified Gammaproteobacteria	Unclassified Gammaproteobacteria	captive
39	PlaceSamplesHere_439751_1-354	4.90742777872475	4.65636299430003	5.34009307767539	0.000207792609295049	0.0142822992815494	3.70934928023242					ENOG410XYGT		Function unknown		Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Unclassified Pseudoalteromonas	captive
40	PlaceSamplesHere_575796_272-1003	4.1635940526546	4.14848130083067	5.35956006701052	0.000210881007206681	0.0142822992815494	3.70561189106697	RP-S2, MRPS2, rpsB	K02967	small subunit ribosomal protein S2	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0052	Ribosomal protein S2	Translation, ribosomal structure and biogenesis	PF00318 [Ribosomal protein S2]	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified Vibrio	captive
41	PlaceSamplesHere_216502_28954-30399	-0.915184440493579	6.62480737568638	-5.79533706324481	0.000215464755114092	0.0142822992815494	-3.70015861303303	TC.NCS2	K03458	nucleobase:cation symporter-2, NCS2 family	Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Transport	COG2233	Xanthine/uracil permeases	Nucleotide transport and metabolism	PF00860 [Permease family]	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	wild
42	PlaceSamplesHere_102369_2-4177	4.85159470450502	5.32782011198867	5.30828157243722	0.000224354960727087	0.0142822992815494	3.68988555530584	rpoC	K03046	DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]	Genetic Information Processing; Transcription; RNA polymerase | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	COG0086	DNA-directed RNA polymerase, beta' subunit/160 kD subunit	Transcription	PF00623 [RNA polymerase Rpb1, domain 2];PF04983 [RNA polymerase Rpb1, domain 3];PF04997 [RNA polymerase Rpb1, domain 1];PF04998 [RNA polymerase Rpb1, domain 5];PF05000 [RNA polymerase Rpb1, domain 4]	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Unclassified Pseudoalteromonas	captive
43	PlaceSamplesHere_234240_897-1517	4.41138140649868	4.88099338793881	5.37769115746744	0.000226048695998768	0.0142822992815494	3.68797179921149	RP-S4, rpsD	K02986	small subunit ribosomal protein S4	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0522	Ribosomal protein S4 and related proteins	Translation, ribosomal structure and biogenesis	PF00163 [Ribosomal protein S4/S9 N-terminal domain];PF01479 [S4 domain]	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified Vibrio	captive
44	PlaceSamplesHere_402247_157-1485	4.6491801151	4.13551840541728	5.26727961684506	0.000226055799144523	0.0142822992815494	3.68796380172685	secY	K03076	preprotein translocase subunit SecY	Genetic Information Processing; Folding, sorting and degradation; Protein export | Environmental Information Processing; Membrane transport; Bacterial secretion system | Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	COG0201	Preprotein translocase subunit SecY		PF00344 [SecY translocase]	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Unclassified Pseudoalteromonas	captive
45	PlaceSamplesHere_503780_30-383	3.32608163911127	3.57660714964635	5.30771742904237	0.000228610127577717	0.0142822992815494	3.6851030470306	RP-L19, MRPL19, rplS	K02884	large subunit ribosomal protein L19	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0335	Ribosomal protein L19	Translation, ribosomal structure and biogenesis	PF01245 [Ribosomal protein L19]	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified Vibrio	captive
46	PlaceSamplesHere_263845_170-406	3.59196375278978	3.80124523254054	5.22454436242425	0.000237322792430968	0.0142822992815494	3.67556587414045	RP-L28, MRPL28, rpmB	K02902	large subunit ribosomal protein L28	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0227	Ribosomal protein L28	Translation, ribosomal structure and biogenesis	PF00830 [Ribosomal L28 family]	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Unclassified Vibrionaceae	Unclassified Vibrionaceae	captive
47	PlaceSamplesHere_554322_143-2230	5.3211732113639	5.13069323643646	5.33934683039591	0.000242043028568492	0.0142822992815494	3.67053531038462	fusA, GFM, EFG	K02355	elongation factor G	Brite Hierarchies; Protein families: genetic information processing; Translation factors | Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis	COG0480	Translation elongation factors (GTPases)	Translation, ribosomal structure and biogenesis	PF00009 [Elongation factor Tu GTP binding domain];PF00679 [Elongation factor G C-terminus];PF03144 [Elongation factor Tu domain 2];PF03764 [Elongation factor G, domain IV];PF14492 [Elongation Factor G, domain II]	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Unclassified Pseudoalteromonas	captive
48	PlaceSamplesHere_45884_612-1082	4.80295651519643	4.32950567312282	5.23854064904545	0.000243647364677824	0.0142822992815494	3.66884643951211	RP-S7, MRPS7, rpsG	K02992	small subunit ribosomal protein S7	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0049	Ribosomal protein S7	Translation, ribosomal structure and biogenesis	PF00177 [Ribosomal protein S7p/S5e]	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Unclassified Pseudoalteromonas	captive
49	PlaceSamplesHere_218831_1661-2080	4.36336836073423	4.37510008131807	5.25282377782693	0.000251857571316784	0.0142822992815494	3.66036362811909	secY	K03076	preprotein translocase subunit SecY	Genetic Information Processing; Folding, sorting and degradation; Protein export | Environmental Information Processing; Membrane transport; Bacterial secretion system | Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	COG0201	Preprotein translocase subunit SecY		PF00344 [SecY translocase]	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified Vibrio	captive
