rowname	logFC	AveExpr	t	P.Value	adj.P.Val	B	z.std	Gene.name	Tax	KEGG.ID	KEGGFUN	KEGGPATH	COG.ID	COGFUN	COGPATH	PFAM	direction
11	mycoplasma_expression_v2_19_6661-7533	2.39228279274385	6.99539827644098	4.47003214722884	0.00157698433449481	0.0327575867027828	-0.19581638968448	3.16013060138533										captive
12	mycoplasma_expression_v2_2_11082-11930	2.09220558661098	6.82984003773772	4.30633346047486	0.00190003900066668	0.0327575867027828	-0.690377945421955	3.10542795661307	ulaE, sgaU, sgbU	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes;o_Mycoplasmatales	K03079	L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22]	Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism	COG3623	Putative L-xylulose-5-phosphate 3-epimerase	Carbohydrate transport and metabolism	PF01261 [Xylose isomerase-like TIM barrel]	captive
13	mycoplasma_expression_v2_2_28819-30762	2.5303457155908	8.97365001839253	3.78603508911263	0.00192561642343089	0.0327575867027828	-1.19736195243665	3.101471139154	tktA, tktB	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes;o_Mycoplasmatales	K00615	transketolase [EC:2.2.1.1]	Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms | Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of ansamycins	COG0021	Transketolase	Carbohydrate transport and metabolism	PF00456 [Transketolase, thiamine diphosphate binding domain];PF02779 [Transketolase, pyrimidine binding domain]	captive
14	mycoplasma_expression_v2_4_5375-5650	2.3445264634745	7.55361006986807	4.34336163410089	0.00194324666880915	0.0327575867027828	-0.356836241833632	3.09877174905572	RP-S19, rpsS	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes;o_Mycoplasmatales;f_Mycoplasmataceae	K02965	small subunit ribosomal protein S19	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0185	Ribosomal protein S19	Translation, ribosomal structure and biogenesis	PF00203 [Ribosomal protein S19]	captive
15	mycoplasma_expression_v2_16_13201-14829	1.99462377937326	9.69249509825341	4.29052867742846	0.00221015028393314	0.0347730311338814	-0.649238539830774	3.06043594889932										captive
16	mycoplasma_expression_v2_4_29055-30278	2.24810020369025	6.90619026306517	4.05348984584406	0.0028144564489259	0.0415132326216571	-1.10942436820199	2.98730840490628	bmpA, bmpB, tmpC		K07335	basic membrane protein A and related proteins	Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Cell motility	COG1744	Uncharacterized ABC-type transport system, periplasmic component/surface lipoprotein	General function prediction only	PF02608 [ABC transporter substrate-binding protein PnrA-like]	captive
17	mycoplasma_expression_v2_6_18128-19231	1.89515331795808	7.21652261819512	3.84027888964676	0.00387823519880703	0.0533719324340552	-1.5264491322752	2.88789969832569	folC	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota	K11754	dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]	Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis	COG0285	Folylpolyglutamate synthase	Coenzyme metabolism	PF08245 [Mur ligase middle domain]	ns
18	mycoplasma_expression_v2_19_1665-2570	-2.34648200220954	6.97652246792154	-3.67597019549445	0.00407074060937709	0.0533719324340552	-1.81601117487281	-2.87262728246085										ns
19	mycoplasma_expression_v2_22_515-1954	2.73873288639325	7.07423789101942	3.75736652840487	0.00463265921031523	0.0575425038754945	-1.57375164131694	2.83152513666374	secY	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes	K03076	preprotein translocase subunit SecY	Genetic Information Processing; Folding, sorting and degradation; Protein export | Environmental Information Processing; Membrane transport; Bacterial secretion system | Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	COG0201	Preprotein translocase subunit SecY		PF00344 [SecY translocase]	ns
20	mycoplasma_expression_v2_29_470-1915	1.79259435418466	6.67844043980102	3.63113751035896	0.00522875212587454	0.0616992750853195	-1.89395917150252	2.79259246499911	ATPF1B, atpD	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota	K02112	F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]	Metabolism; Energy metabolism; Oxidative phosphorylation | Metabolism; Energy metabolism; Photosynthesis | Brite Hierarchies; Protein families: metabolism; Photosynthesis proteins	COG0055	F0F1-type ATP synthase, beta subunit	Energy production and conversion	PF00006 [ATP synthase alpha/beta family, nucleotide-binding domain]	ns
21	mycoplasma_expression_v2_3_46416-48461	1.88254847752171	6.72214279223151	3.5790528396899	0.00568246179050424	0.0638600467885238	-1.68708807083431	2.76556305553637	ftsH, hflB		K03798	cell division protease FtsH [EC:3.4.24.-]	Brite Hierarchies; Protein families: metabolism; Peptidases | Brite Hierarchies; Protein families: genetic information processing; Chaperones and folding catalysts	COG0465	ATP-dependent Zn proteases	Posttranslational modification, protein turnover, chaperones	PF00004 [ATPase family associated with various cellular activities (AAA)];PF01434 [Peptidase family M41];PF17862 []	ns
22	mycoplasma_expression_v2_5_28948-29631	2.0103982431892	8.21996897035632	3.11468042613247	0.0074341406270789	0.0797480539995737	-2.47850676628903	2.67674403030123	ATPF0A, atpB	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes;o_Mycoplasmatales	K02108	F-type H+-transporting ATPase subunit a	Metabolism; Energy metabolism; Oxidative phosphorylation | Metabolism; Energy metabolism; Photosynthesis | Brite Hierarchies; Protein families: metabolism; Photosynthesis proteins | Brite Hierarchies; Protein families: genetic information processing; Chaperones and folding catalysts	COG0356	F0F1-type ATP synthase, subunit a	Energy production and conversion	PF00119 [ATP synthase A chain]	ns
23	mycoplasma_expression_v2_3_25617-27176	1.56613585466654	12.2993982727579	3.27136868672111	0.00932685508214258	0.0957016434515499	-2.50383826302282	2.59983515846621		k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota				COG1288	Predicted membrane protein	Function unknown	PF03606 [C4-dicarboxylate anaerobic carrier]	ns
24	mycoplasma_expression_v2_4_5650-6492	1.57282993375063	8.1948023266129	3.19446926136596	0.0108368837242229	0.102054168032665	-2.47606025851162	2.54791511206395	RP-L2, MRPL2, rplB	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota	K02886	large subunit ribosomal protein L2	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0090	Ribosomal protein L2	Translation, ribosomal structure and biogenesis	PF00181 [Ribosomal Proteins L2, RNA binding domain];PF03947 [Ribosomal Proteins L2, C-terminal domain]	ns
25	mycoplasma_expression_v2_22_78-512	1.65365949523197	7.37611684653024	3.13826438625689	0.0116161107022917	0.102054168032665	-2.56508185151693	2.52359670236575	RP-L15, MRPL15, rplO	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes;o_Mycoplasmatales	K02876	large subunit ribosomal protein L15	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0200	Ribosomal protein L15	Translation, ribosomal structure and biogenesis	PF00828 [Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A]	ns
26	mycoplasma_expression_v2_1_25984-28755	1.35618401640648	9.96233294624407	3.1438001370644	0.011933785502817	0.102054168032665	-2.54289342578956	2.51409626347994										ns
27	mycoplasma_expression_v2_2_11932-12588	2.20188546872125	7.42723648875404	3.13738934830005	0.0121780625308458	0.102054168032665	-2.56244723793335	2.50694219574648	ulaD, sgaH, sgbH	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes;o_Mycoplasmatales;f_Mycoplasmataceae	K03078	3-dehydro-L-gulonate-6-phosphate decarboxylase [EC:4.1.1.85]	Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism	COG0269	3-hexulose-6-phosphate synthase and related proteins	Carbohydrate transport and metabolism	PF00215 [Orotidine 5'-phosphate decarboxylase / HUMPS family]	ns
28	mycoplasma_expression_v2_22_2492-3250	1.51395921083904	7.03044172869862	3.09450691703395	0.0122288487384736	0.102054168032665	-2.81597760681204	2.50547082279549	map	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes;o_Mycoplasmatales	K01265	methionyl aminopeptidase [EC:3.4.11.18]	Brite Hierarchies; Protein families: metabolism; Peptidases	COG0024	Methionine aminopeptidase	Translation, ribosomal structure and biogenesis	PF00557 [Metallopeptidase family M24]	ns
29	mycoplasma_expression_v2_2_13094-13366	1.54050684865272	7.38273208003073	3.07373510651586	0.0129465394322183	0.102054168032665	-2.83085365624472	2.4852364953551	PTS-Ula-EIIB, ulaB, sgaB	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes;o_Mycoplasmatales;f_Mycoplasmataceae	K02822	PTS system, ascorbate-specific IIB component [EC:2.7.1.194]	Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism | Environmental Information Processing; Membrane transport; Phosphotransferase system (PTS) | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	COG3414	Phosphotransferase system, galactitol-specific IIB component	Carbohydrate transport and metabolism	PF02302 [PTS system, Lactose/Cellobiose specific IIB subunit]	ns
30	mycoplasma_expression_v2_4_7594-8526	1.69001275091912	7.85543183716168	3.09234282666018	0.0129729874617795	0.102054168032665	-2.76727735493697	2.48450997217316	RP-L3, MRPL3, rplC	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes;o_Mycoplasmatales;f_Mycoplasmataceae	K02906	large subunit ribosomal protein L3	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0087	Ribosomal protein L3	Translation, ribosomal structure and biogenesis	PF00297 [Ribosomal protein L3]	ns
31	mycoplasma_expression_v2_33_1000-2199	1.7658987358442	9.77580106114709	2.7562663431085	0.0151735977799581	0.115515131486133	-3.14137793309444	2.42820896688126										ns
32	mycoplasma_expression_v2_5_30978-32516	1.54117762423171	7.27286988031903	2.88153922173434	0.0177570613189376	0.130958327227165	-3.17575243996441	2.3706453322263	ATPF1A, atpA	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes	K02111	F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]	Metabolism; Energy metabolism; Oxidative phosphorylation | Metabolism; Energy metabolism; Photosynthesis | Brite Hierarchies; Protein families: metabolism; Photosynthesis proteins	COG0056	F0F1-type ATP synthase, alpha subunit	Energy production and conversion	PF00006 [ATP synthase alpha/beta family, nucleotide-binding domain];PF00306 [ATP synthase alpha/beta chain, C terminal domain];PF02874 [ATP synthase alpha/beta family, beta-barrel domain]	ns
33	mycoplasma_expression_v2_17_3247-4218	1.79790049247349	7.09984808193621	2.80201054915132	0.0203159406946345	0.139937295261243	-3.17047477639163	2.32046121516538	pfkA, PFK	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes;o_Mycoplasmatales	K00850	6-phosphofructokinase 1 [EC:2.7.1.11]	Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Carbohydrate metabolism; Galactose metabolism | Metabolism; Energy metabolism; Methane metabolism | Genetic Information Processing; Folding, sorting and degradation; RNA degradation | Environmental Information Processing; Signal transduction; AMPK signaling pathway | Human Diseases; Cancers: Overview; Central carbon metabolism in cancer | Brite Hierarchies; Protein families: metabolism; Protein phosphatases and associated proteins | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis	COG0205	6-phosphofructokinase	Carbohydrate transport and metabolism	PF00365 [Phosphofructokinase]	ns
34	mycoplasma_expression_v2_3_39523-44094	1.94942534086416	7.25711249048645	2.80691515015867	0.0206160095498484	0.139937295261243	-3.18030114501973	2.31494377002511									PF02687 [FtsX-like permease family]	ns
35	mycoplasma_expression_v2_9_2497-4536	1.47298751592946	7.63773805585414	2.79023855655065	0.0207534124328115	0.139937295261243	-3.27373463214276	2.31244064960924		k_Bacteria	K02768;K02769;K02770			COG1299;COG1445;COG1762			PF00359 [Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2];PF02302 [PTS system, Lactose/Cellobiose specific IIB subunit]	ns
36	mycoplasma_expression_v2_6_19319-20503	1.39751840255429	11.2989504672433	2.73234290656107	0.0229034409596475	0.146514757434397	-3.42703543426452	2.27504149118018	tuf, TUFM	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes;o_Mycoplasmatales;f_Mycoplasmataceae	K02358	elongation factor Tu	Brite Hierarchies; Protein families: genetic information processing; Translation factors | Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	COG0050	GTPases - translation elongation factors	Translation, ribosomal structure and biogenesis	PF00009 [Elongation factor Tu GTP binding domain];PF03143 [Elongation factor Tu C-terminal domain];PF03144 [Elongation factor Tu domain 2]	ns
37	mycoplasma_expression_v2_2_10394-11098	1.86008868912983	7.76127016133504	2.69567540493648	0.0245604645234469	0.146514757434397	-3.37987785276352	2.24824668137759	araD, ulaF, sgaE, sgbE	k_Bacteria	K03077	L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]	Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism	COG0235	Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases	Carbohydrate transport and metabolism	PF00596 [Class II Aldolase and Adducin N-terminal domain]	ns
38	mycoplasma_expression_v2_37_461-1768	1.85730582522759	7.40077956373073	2.69145027331111	0.0246275809924397	0.146514757434397	-3.38360731072375	2.24719479027599										ns
39	mycoplasma_expression_v2_18_3057-4565	1.67430305515337	9.38634463447175	2.69360326419224	0.0247374185117511	0.146514757434397	-3.42017871784211	2.24547869395036	glpK, GK	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes;o_Mycoplasmatales;f_Mycoplasmataceae	K00864	glycerol kinase [EC:2.7.1.30]	Metabolism; Lipid metabolism; Glycerolipid metabolism | Organismal Systems; Endocrine system; PPAR signaling pathway | Organismal Systems; Environmental adaptation; Plant-pathogen interaction | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	COG0554	Glycerol kinase	Energy production and conversion	PF00370 [FGGY family of carbohydrate kinases, N-terminal domain];PF02782 [FGGY family of carbohydrate kinases, C-terminal domain]	ns
40	mycoplasma_expression_v2_18_4606-5322	1.35285227882047	10.1452015862099	2.68793273729236	0.0248330097346436	0.146514757434397	-3.41009382221203	2.24399054436181	GLPF	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes;o_Mycoplasmatales	K02440	glycerol uptake facilitator protein	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	COG0580	Glycerol uptake facilitator and related permeases (Major Intrinsic Protein Family)	Carbohydrate transport and metabolism	PF00230 [Major intrinsic protein]	ns
41	mycoplasma_expression_v2_23_5471-5788	-1.85791252297297	7.11742241875473	-2.60225575213584	0.0258571881020096	0.148836497367665	-3.5981783923551	-2.22834994652686										ns
42	mycoplasma_expression_v2_18_1959-3053	1.66363199861617	8.25340633431788	2.61580004898353	0.0274740545907533	0.154378021033757	-3.53299894842682	2.20471564497992	glpA, glpD	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota	K00111	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	Metabolism; Lipid metabolism; Glycerophospholipid metabolism	COG0579	Predicted dehydrogenase	General function prediction only	PF01266 [FAD dependent oxidoreductase]	ns
43	mycoplasma_expression_v2_5_41673-43286	1.3079528876735	6.4403139457856	2.55851255966878	0.0294700712629117	0.161088242795592	-3.68227555843844	2.17714069861832		k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota	K10826;K10834			COG0488	ATPase components of ABC transporters with duplicated ATPase domains	General function prediction only	PF00005 [ABC transporter];PF12848 [ABC transporter]	ns
44	mycoplasma_expression_v2_5_10523-11053	1.43683818031634	7.92463043972118	2.56626601025076	0.0300334011991781	0.161088242795592	-3.68787944455883	2.16964959532785	upp, UPRT	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes;o_Mycoplasmatales;f_Mycoplasmataceae	K00761	uracil phosphoribosyltransferase [EC:2.4.2.9]	Metabolism; Nucleotide metabolism; Pyrimidine metabolism	COG0035	Uracil phosphoribosyltransferase	Nucleotide transport and metabolism	PF00156 [Phosphoribosyl transferase domain];PF14681 [Uracil phosphoribosyltransferase]	ns
45	mycoplasma_expression_v2_2_13388-15115	1.4318085829199	9.48839808828267	2.48107074834519	0.0350416667722184	0.183774074627634	-3.77416241796401	2.10787657706223	PTS-Ula-EIIC, ulaA, sgaT	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes	K03475	PTS system, ascorbate-specific IIC component	Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism | Environmental Information Processing; Membrane transport; Phosphotransferase system (PTS) | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	COG3037	Uncharacterized protein conserved in bacteria	Function unknown	PF03611 [PTS system sugar-specific permease component]	ns
46	mycoplasma_expression_v2_14_11359-12888	1.3159001366189	6.46233140539427	2.38660692177713	0.0391394087779305	0.200802184165035	-3.9193585132075	2.06271820978118	clsA_B	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota	K06131	cardiolipin synthase A/B [EC:2.7.8.-]	Metabolism; Lipid metabolism; Glycerophospholipid metabolism	COG1502	Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthases and related enzymes	Lipid metabolism	PF00614 [Phospholipase D Active site motif];PF13091 [PLD-like domain]	ns
47	mycoplasma_expression_v2_11_11436-12710	-2.43075903127885	6.41378872267724	-2.33217270425518	0.0411333264809016	0.206541809563676	-3.99873421484941	-2.04218356131855	tig	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes	K03545	trigger factor	Not Included in Pathway or Brite; Unclassified: genetic information processing; Protein processing	COG0544	FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)	Posttranslational modification, protein turnover, chaperones	PF00254 [FKBP-type peptidyl-prolyl cis-trans isomerase];PF05697 [Bacterial trigger factor protein (TF)];PF05698 [Bacterial trigger factor protein (TF) C-terminus]	ns
48	mycoplasma_expression_v2_8_14861-15139	1.59534864806576	7.42059613104187	2.30573277061536	0.0456493594781611	0.218662446079084	-4.11067602094644	1.99862115689252		k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota								ns
49	mycoplasma_expression_v2_3_18799-23913	1.1357370366505	10.3257879626844	2.31094936627287	0.0457026694388185	0.218662446079084	-4.10915485813169	1.99812906471235										ns
50	mycoplasma_expression_v2_6_6458-7600	1.62823078236493	7.37196034821761	2.30162081451759	0.0463267894235348	0.218662446079084	-4.10324345041396	1.99240362968909	mtlD	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota	K00009	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism	COG0246	Mannitol-1-phosphate/altronate dehydrogenases	Carbohydrate transport and metabolism	PF08125 [Mannitol dehydrogenase C-terminal domain]	ns
51	mycoplasma_expression_v2_1_44525-45124	1.19377121467559	7.28668747553098	2.23337545725988	0.0512397196188308	0.237109290785178	-4.23084202747815	1.94946666812973	RP-S4, rpsD	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes;o_Mycoplasmatales;f_Mycoplasmataceae	K02986	small subunit ribosomal protein S4	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0522	Ribosomal protein S4 and related proteins	Translation, ribosomal structure and biogenesis	PF00163 [Ribosomal protein S4/S9 N-terminal domain];PF01479 [S4 domain]	ns
52	mycoplasma_expression_v2_12_5732-6514	1.33325524085633	12.3650439926436	2.1824075545149	0.0559680511387655	0.251332230609323	-4.26574431096223	1.91128433431578										ns
53	mycoplasma_expression_v2_16_8757-9998	1.21931604996489	8.52549003776261	2.1603988760581	0.0587323962085029	0.251332230609323	-4.37051454115561	1.89019117746506	rpoD	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes;o_Mycoplasmatales	K03086	RNA polymerase primary sigma factor	Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	COG0568	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)	Transcription	PF00140 [Sigma-70 factor, region 1.2];PF04539 [Sigma-70 region 3];PF04542 [Sigma-70 region 2 ]	ns
54	mycoplasma_expression_v2_4_32808-34469	1.51330711039933	7.89968497134493	2.14678188337224	0.0596290337481463	0.251332230609323	-4.33317606389356	1.88352663501724	ABC.SS.A	k_Bacteria;n_Terrabacteria group;p_Bacillota	K02056	simple sugar transport system ATP-binding protein [EC:3.6.3.17]	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	COG3845	ABC-type uncharacterized transport systems, ATPase components	General function prediction only	PF00005 [ABC transporter]	ns
55	mycoplasma_expression_v2_7_11824-15276	1.27075827010216	8.66812362385801	2.14142401177365	0.0601425151409331	0.251332230609323	-4.34030592964865	1.87974737863078	csn1, cas9	k_Bacteria	K09952	CRISPR-associated endonuclease Csn1 [EC:3.1.-.-]	Brite Hierarchies; Protein families: signaling and cellular processes; Prokaryotic defense system	COG3513	Uncharacterized protein conserved in bacteria	Function unknown	PF13395 [HNH endonuclease];PF18541 []	ns
