Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Spongiibacter sp. UBA6593		isolate: UBA6593	1947544	ASM243364v1	GCF_002433645.1	RefSeq	GCF_002433645.1-RS_2025_04_07	Scaffold	23247	3312647	2017-10-04	3218	PRJNA348753	SAMN06451398
Spongiibacter tropicus		isolate: UBA6512	454602	ASM243510v1	GCF_002435105.1	RefSeq	GCF_002435105.1-RS_2025_04_07	Scaffold	31963	3634064	2017-10-04	3479	PRJNA348753	SAMN06454708
Spongiibacter tropicus		isolate: UBA7228	454602	ASM247334v1	GCF_002473345.1	RefSeq	GCF_002473345.1-RS_2025_04_07	Scaffold	117556	3598145	2017-10-06	3364	PRJNA348753	SAMN06456508
Spongiibacter sp.		isolate: IN29	2024860	ASM269431v1	GCF_002694315.1	RefSeq	GCF_002694315.1-RS_2024_07_04	Contig	73030	3333100	2017-10-24	3182	PRJNA391943	SAMN07620124
Spongiibacter sp.		isolate: SAT40	2024860	ASM270650v1	GCF_002706505.1	RefSeq	GCF_002706505.1-RS_2024_07_04	Contig	129154	3830489	2017-10-25	3603	PRJNA391943	SAMN07620126
Spongiibacter sp.		isolate: NP125	2024860	ASM273081v1	GCF_002730815.1	RefSeq	GCF_002730815.1-RS_2024_07_04	Contig	44651	3859599	2017-10-26	3623	PRJNA391943	SAMN07620125
Zhongshania marina		strain: ZX-21	2304603	ASM291559v1	GCF_002915595.1	RefSeq	GCF_002915595.1-RS_2025_06_23	Scaffold	134147	4132473	2018-02-04	3858	PRJNA428140	SAMN08281192
Zhongshania marina		strain: DSW25-10	2304603	ASM372571v1	GCF_003725715.1	RefSeq	GCF_003725715.1-RS_2024_11_18	Contig	170247	4084538	2018-11-13	3772	PRJNA487235	SAMN10319551
Sinobacterium caligoides		strain: DSM 100316	933926	ASM375258v1	GCF_003752585.1	RefSeq	GCF_003752585.1-RS_2025_05_04	Scaffold	1338060	4398449	2018-11-15	3884	PRJNA500340	SAMN10362944
Spongiibacter thalassae		strain: KMU-166	2721624	ASM1227283v1	GCF_012272835.1	RefSeq	GCF_012272835.1-RS_2025_05_14	Scaffold	463929	4404448	2020-04-11	3957	PRJNA615763	SAMN14466327
Zhongshania antarctica		strain: DSM 25701	641702	ASM1420294v1	GCF_014202945.1	RefSeq	GCF_014202945.1-RS_2025_03_28	Contig	453360	3855481	2020-08-14	3553	PRJNA632221	SAMN14908369
Spongiibacter pelagi		strain: KMU-158	2760804	ASM1470570v1	GCF_014705705.1	RefSeq	GCF_014705705.1-RS_2024_11_06	Contig	405556	3288743	2020-09-22	3087	PRJNA661398	SAMN16057075
Zhongshania antarctica		strain: ZS5-23	641702	Zant_v1	GCF_014898265.1	RefSeq	GCF_014898265.1-RS_2025_03_29	Contig	418405	3850834	2020-10-20	3564	PRJNA295509	SAMN04074915
Spongiibacter nanhainus		strain: csc3.9	2794344	ASM1613254v1	GCF_016132545.1	RefSeq	GCF_016132545.1-RS_2025_03_23	Complete Genome	4078570	4078570	2020-12-21	3711	PRJNA682507	SAMN16992955
Spongiibacter marinus		strain: DSM 17750	354246	ASM1690699v1	GCF_016906995.1	RefSeq	GCF_016906995.1-RS_2025_03_29	Scaffold	290603	3572376	2021-02-19	3412	PRJNA632327	SAMN17620324
Spongiibacter sp.		isolate: HXMU1420-9	2024860	ASM1764324v1	GCF_017643245.1	RefSeq	GCF_017643245.1-RS_2024_07_04	Scaffold	11337	3311020	2021-03-30	3356	PRJNA664924	SAMN16237265
Zhongshania sp.		isolate: 640_Coassembly_bin.32	1971902	ASM1806719v1	GCF_018067195.1	RefSeq	GCF_018067195.1-RS_2024_07_18	Contig	103972	3639466	2021-04-17	3360	PRJNA686385	SAMN18558045
Zhongshania aquimaris		strain: CAU 1632	2857107	ASM1931259v1	GCF_019312595.1	RefSeq	GCF_019312595.1-RS_2024_08_08	Scaffold	620913	4255273	2021-07-21	3848	PRJNA746004	SAMN20157208
Spongiibacter taiwanensis		strain: SPT1	1748242	ASM2370263v1	GCF_023702635.1	RefSeq	GCF_023702635.1-RS_2025_06_14	Complete Genome	3714182	3714182	2022-06-12	3376	PRJNA844496	SAMN28818705
Oceanicoccus sp.		isolate: Bpl_5	2691044	ASM2422663v1	GCF_024226635.1	RefSeq	GCF_024226635.1-RS_2024_07_14	Contig	12096	2902519	2022-07-12	3028	PRJNA503328	SAMN13632546
Dasania sp. GY-MA-18		strain: GY-MA-18	2966584	ASM2473438v1	GCF_024734385.1	RefSeq	GCF_024734385.1-RS_2024_09_24	Contig	251884	3808450	2022-08-23	3396	PRJNA858191	SAMN29673582
Dasania phycosphaerae		strain: GY-19	2950436	ASM2689103v1	GCF_026891035.1	RefSeq	GCF_026891035.1-RS_2024_12_09	Contig	251884	4171170	2022-12-13	3810	PRJNA858191	SAMN32084463
Dasania phycosphaerae		strain: GY-20	2950436	ASM2689115v1	GCF_026891155.1	RefSeq	GCF_026891155.1-RS_2025_01_27	Contig	251884	3755961	2022-12-13	3359	PRJNA858191	SAMN32084464
Zhongshania aquatica		strain: BJYM1	2965069	ASM2725795v1	GCF_027257955.1	RefSeq	GCF_027257955.1-RS_2025_07_03	Contig	215422	4489062	2022-12-23	4200	PRJNA820521	SAMN30556277
Zhongshania sp.		isolate: bin_bo_oilr1.030	1971902	ASM2921237v1	GCF_029212375.1	RefSeq	GCF_029212375.1-RS_2024_07_17	Scaffold	168625	3804105	2023-03-14	3525	PRJNA938176	SAMN33612158
Oceanicoccus sp.		isolate: cluster1_bin.102	2691044	ASM2923867v1	GCF_029238675.1	RefSeq	GCF_029238675.1-RS_2024_07_19	Contig	92148	2320003	2023-03-17	2231	PRJNA729490	SAMN32744184
Spongiibacter tropicus		isolate: BWSM_121	454602	ASM3014922v1	GCF_030149225.1	RefSeq	GCF_030149225.1-RS_2025_06_04	Contig	322477	3651156	2023-06-02	3425	PRJNA963066	SAMN34434820
Zhongshania sp.		isolate: HBSea_ice_MAG1242	1971902	ASM3411236v1	GCF_034112365.1	RefSeq	GCF_034112365.1-RS_2025_02_08	Contig	148471	3738948	2023-12-05	3466	PRJNA1011243	SAMN37641288
Spongiibacter tropicus		strain: CH_XMU1449-1	454602	ASM3702726v1	GCF_037027265.1	RefSeq	GCF_037027265.1-RS_2025_03_07	Scaffold	160118	3713986	2024-03-05	3466	PRJNA1050651	SAMN38749268
Zhongshania borealis		strain: JCM 17304	889488	ASM3953962v1	GCF_039539625.1	RefSeq	GCF_039539625.1-RS_2025_05_10	Scaffold	440228	4275261	2024-02-23	3902	PRJDB10510	SAMD00645649
Zhongshania arctica		strain: R06B22	3238302	ASM4089259v1	GCF_040892595.1	RefSeq	GCF_040892595.1-RS_2024_07_28	Contig	3514391	3855926	2024-07-26	3479	PRJNA1138889	SAMN42746166
Zhongshania guokunii		strain: ZS6-22T	641783	ASM4089263v1	GCF_040892635.1	RefSeq	GCF_040892635.1-RS_2024_07_28	Contig	216845	4149329	2024-07-26	3813	PRJNA1138889	SAMN42746167
Zhongshania sp.		isolate: Mix_sand07.2021.05.D.49	1971902	ASM4158449v1	GCF_041584495.1	RefSeq	GCF_041584495.1-RS_2024_08_31	Contig	27133	4012323	2024-08-29	3933	PRJNA1129210	SAMN42103252
Spongiibacter marinus		isolate: Mix_sand07.2021.05.D.19	354246	ASM4158495v1	GCF_041584955.1	RefSeq	GCF_041584955.1-RS_2024_08_31	Contig	280636	3414936	2024-08-29	3191	PRJNA1129210	SAMN42103228
Zhongshania sp.		isolate: Mix_sand07.2021.05.Z.71	1971902	ASM4159431v1	GCF_041594315.1	RefSeq	GCF_041594315.1-RS_2024_08_31	Contig	20692	4397386	2024-08-29	4225	PRJNA1129210	SAMN42103490
Spongiibacter sp.		isolate: Mix_sand11.2021.09.Z.100	2024860	ASM4160229v1	GCF_041602295.1	RefSeq	GCF_041602295.1-RS_2024_08_31	Contig	27657	3244815	2024-08-29	3132	PRJNA1129210	SAMN42104011
Zhongshania sp.		isolate: Mix_sand19.2022.05.G.28	1971902	ASM4162354v1	GCF_041623545.1	RefSeq	GCF_041623545.1-RS_2024_08_31	Contig	12417	3981534	2024-08-29	3799	PRJNA1129210	SAMN42105108
Spongiibacter tropicus		isolate: WDNA15_bin.16.strict	454602	ASM4193830v1	GCF_041938305.1	RefSeq	GCF_041938305.1-RS_2024_09_18	Scaffold	80116	3486828	2024-09-17	3387	PRJNA1109759	SAMN41280391
Spongiibacter tropicus		isolate: WDNA14_bin.26.orig	454602	ASM4193914v1	GCF_041939145.1	RefSeq	GCF_041939145.1-RS_2024_09_18	Contig	38089	3325771	2024-09-17	3257	PRJNA1109759	SAMN41280352
Spongiibacter marinus		isolate: WDNA14_bin.12.strict	354246	ASM4193942v1	GCF_041939425.1	RefSeq	GCF_041939425.1-RS_2024_09_18	Scaffold	118986	3347966	2024-09-17	3186	PRJNA1109759	SAMN41280337
Zhongshania aliphaticivorans		isolate: Langseth_MAG_00004	1470434	ASM4751820v1	GCF_047518205.1	RefSeq	GCF_047518205.1-RS_2025_02_09	Contig	26908	4024800	2025-02-07	3763	PRJNA454581	SAMN26378403
Zhongshania aliphaticivorans		isolate: 3300055174_40	1470434	ASM4761728v1	GCF_047617285.1	RefSeq	GCF_047617285.1-RS_2025_02_12	Contig	23229	3601697	2025-02-10	3367	PRJNA1160706	SAMN44742085
Zhongshania sp.		isolate: 3300054695_175	1971902	ASM4763617v1	GCF_047636175.1	RefSeq	GCF_047636175.1-RS_2025_02_12	Contig	128564	3717093	2025-02-11	3420	PRJNA1160706	SAMN44748052
Spongiibacter tropicus		isolate: ES10-06	454602	ASM4826558v1	GCF_048265585.1	RefSeq	GCF_048265585.1-RS_2025_03_02	Scaffold	144260	3317156	2025-02-28	3125	PRJNA1211307	SAMN46274220
Spongiibacter marinus		isolate: ME_XS_2301_5_bin38	354246	ASM4961628v1	GCF_049616285.1	RefSeq	GCF_049616285.1-RS_2025_04_17	Scaffold	58298	3245872	2025-04-15	3112	PRJNA1214517	SAMN46377827
Spongiibacter marinus		isolate: ME_XS_2301_2_bin8	354246	ASM4961779v1	GCF_049617795.1	RefSeq	GCF_049617795.1-RS_2025_04_17	Contig	19421	3141217	2025-04-15	3043	PRJNA1214517	SAMN46377755
Spongiibacter marinus		isolate: ME_XS_2302_4_bin_41	354246	ASM4962803v1	GCF_049628035.1	RefSeq	GCF_049628035.1-RS_2025_04_17	Contig	13663	3122941	2025-04-15	3103	PRJNA1214517	SAMN46378062
Oceanicoccus sp. KOV_DT_Chl		isolate: KOV_DT_Chl	1904639	KOV_DT_Chl_genome	GCF_900120175.1	RefSeq	GCF_900120175.1-RS_2024_08_13	Contig	2469345	4825034	2018-01-02	4670	PRJEB15523	SAMEA4467369
BD1-7 clade bacterium		isolate: AG-390-B23	2029982	AG-390-B23	GCF_902555115.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	15668	1137540	2019-11-06	1108	PRJEB33281	SAMEA6075617
BD1-7 clade bacterium		isolate: AG-422-L11	2029982	AG-422-L11	GCF_902573975.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	6204	212066	2019-11-05	224	PRJEB33281	SAMEA6076343
BD1-7 clade bacterium		isolate: BC9_1	2029982	ASM90270583v1	GCF_902705835.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	255561	5064261	2019-12-17	4265	PRJEB30766	SAMEA5215813
BD1-7 clade bacterium		isolate: BC5_2	2029982	BD1-7 clade bacteriaum strain BC5_2	GCF_902705845.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	230624	4861478	2019-12-17	4115	PRJEB30766	SAMEA5215811
Zhongshania aliphaticivorans		isolate: BC9_2A	1470434	Zhongshania sp. strain BC9_2A	GCF_902705855.1	RefSeq	GCF_902705855.1-RS_2025_07_11	Contig	509068	3949550	2019-12-17	3632	PRJEB30766	SAMEA5215814
BD1-7 clade bacterium		isolate: SB11_3	2029982	ASM90270586v1	GCF_902705865.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	334509	5702533	2019-12-17	4792	PRJEB30766	SAMEA5215816
Zhongshania aliphaticivorans		isolate: SB11_1A	1470434	Zhongshania sp. strain SB11_1A	GCF_902705875.1	RefSeq	GCF_902705875.1-RS_2025_03_11	Contig	2980335	3979381	2019-12-17	3612	PRJEB30766	SAMEA5215815
Zhongshania aliphaticivorans		isolate: BC3_2A	1470434	Zhongshania sp. strain BC3_2A	GCF_902705895.1	RefSeq	GCF_902705895.1-RS_2025_03_11	Scaffold	608460	4439105	2019-12-17	4035	PRJEB30766	SAMEA5215809
uncultured Zhongshania sp.		isolate: SRR3933371_bin.2_MetaBAT_v2.12.1_MAG	1642288	SRR3933371_bin.2_MetaBAT_v2.12.1_MAG	GCF_913060945.1	RefSeq	GCF_913060945.1-RS_2024_07_17	Contig	351986	3821870	2021-09-22	3469	PRJEB37807	SAMEA9694269
uncultured Spongiibacter sp.		isolate: SRR3965592_bin.19_MetaBAT_v2.12.1_MAG	870896	SRR3965592_bin.19_MetaBAT_v2.12.1_MAG	GCF_913062795.1	RefSeq	GCF_913062795.1-RS_2024_07_05	Contig	17706	3313135	2021-09-22	3263	PRJEB37807	SAMEA9694464
Sinobacterium norvegicum		strain: CECT 8267, type strain	1641715	Sinobacterium_norvegicum_CECT_8267_Spades_Prokka	GCF_923077115.1	RefSeq	GCF_923077115.1-RS_2025_07_08	Contig	1990716	3859869	2022-02-01	3574	PRJEB49349	SAMEA11105424
uncultured Spongiibacter sp.		isolate: SRR3963982_bin.19_MetaWRAP_v1.3_MAG	870896	SRR3963982_bin.19_MetaWRAP_v1.3_MAG	GCF_950058895.1	RefSeq	GCF_950058895.1-RS_2024_07_05	Contig	154438	3269526	2023-05-01	3077	PRJEB26141	SAMEA112957902
uncultured Spongiibacter sp.		isolate: SRR3960578_bin.21_MetaWRAP_v1.3_MAG	870896	SRR3960578_bin.21_MetaWRAP_v1.3_MAG	GCF_950061765.1	RefSeq	GCF_950061765.1-RS_2024_07_05	Contig	119684	3518139	2023-05-01	3277	PRJEB26112	SAMEA112958335
uncultured Spongiibacter sp.		isolate: SRR3960577_bin.7_MetaWRAP_v1.3_MAG	870896	SRR3960577_bin.7_MetaWRAP_v1.3_MAG	GCF_950069325.1	RefSeq	GCF_950069325.1-RS_2024_07_05	Contig	104119	3539975	2023-05-01	3315	PRJEB26859	SAMEA112958243
uncultured Spongiibacter sp.		isolate: SRR3965592_bin.4_MetaWRAP_v1.3_MAG	870896	SRR3965592_bin.4_MetaWRAP_v1.3_MAG	GCF_950072915.1	RefSeq	GCF_950072915.1-RS_2024_07_05	Contig	17221	3632988	2023-05-01	3581	PRJEB26144	SAMEA112957938
uncultured Spongiibacter sp.		isolate: SRR3960576_bin.8_MetaWRAP_v1.3_MAG	870896	SRR3960576_bin.8_MetaWRAP_v1.3_MAG	GCF_950072995.1	RefSeq	GCF_950072995.1-RS_2024_07_05	Contig	32601	3582507	2023-05-01	3443	PRJEB26110	SAMEA112958292
uncultured Oceanicoccus sp.		isolate: ERR3525233_maxbin2_4	1706381	ERR3525233_maxbin2_4	GCF_963968385.1	RefSeq	GCF_963968385.1-RS_2024_04_06	Contig	21529	1875847	2024-02-27	1854	PRJEB71379	SAMEA115331987
uncultured Zhongshania sp.		isolate: ERR2762155_binner12_Refined_17	1642288	ERR2762155_binner12_Refined_17	GCF_963975605.1	RefSeq	GCF_963975605.1-RS_2024_04_06	Contig	162918	3798169	2024-03-10	3492	PRJEB47400	SAMEA115300788
Dasania marina		isolate: ERR2762122_concoct_248	471499	ERR2762122_concoct_248	GCF_963977035.1	RefSeq	GCF_963977035.1-RS_2024_04_06	Contig	134120	4410160	2024-03-10	3975	PRJEB47400	SAMEA115300659
uncultured Spongiibacter sp.		isolate: ERR594295_binner123_Refined_8	870896	ERR594295_binner123_Refined_8	GCF_964011655.1	RefSeq	GCF_964011655.1-RS_2024_06_05	Contig	100510	3324010	2024-03-21	3147	PRJEB51168	SAMEA115421845
uncultured Spongiibacter sp.		isolate: ERR594292_binner123_Refined_2	870896	ERR594292_binner123_Refined_2	GCF_964012005.1	RefSeq	GCF_964012005.1-RS_2024_06_05	Contig	154183	3476814	2024-03-21	3233	PRJEB51168	SAMEA115421837
